"code","text"
"1950",METHODOLOGY
"1954",QUANTUM CALCULATIONS
"1956",STATISTICAL AND SIMULATIONS
"1960",STRUCTURE AND REACTIVITY
"1962",SPECTROSCOPY
"1966",SYNTHETIC INORGANIC
"1968",PHYSICAL INORGANIC
"1972",ELECTROCHEMISTRY & SURFACE CHE
"1974",ANALYTICAL SEPARATIONS & MEAS.
"1976",SPECIAL PROJECTS
"1978",PROJECTS
"1980",PROGRAM SUPPORT
"1982",BIOLOGICAL CHEMISTRY
"1984",MATERIALS SYNTHESIS & PROCESSN
"1986",UNDERGRADUATE PROGRAMS IN CHEM
"1988",CHEMISTRY FELLOWSHIPS
"1990",CHEMISTRY EDUCATION
"1991",CHEMISTRY PROJECTS
"1994",BIOINFORMATICS PROGRAM
"1995",CHE CENTERS
"1996",STEM - Computing Partnerships
"1997",NSF Research Traineeship (NRT)
"1998",IUSE
"200",""
"2000",""
"2001",""
"2002",""
"2003",""
"2004",""
"2005",""
"2007",""
"2009",""
"2012",""
"2013",""
"2018",""
"2019",""
"2020",""
"2021",""
"2022",""
"2024",""
"2025",""
"2027",""
"2030",""
"2032",""
"2033",""
"2034",""
"2035",""
"2036",""
"2037",""
"2038",""
"2040",""
"2041",""
"2042",""
"2043",""
"2047",""
"2051",""
"2052",""
"2053",""
"2055",""
"2056",""
"2057",""
"2058",""
"2059",""
"2060",""
"2061",""
"2062",""
"2063",""
"2064",""
"2067",""
"2068",""
"2069",""
"2070",""
"2071",""
"2074",""
"2075",""
"2077",""
"2078",""
"2079",""
"2080",""
"2081",""
"2082",""
"2083",""
"2084",""
"2087",""
"2088",""
"2089",""
"2090",""
"2091",""
"2092",""
"2094",""
"2096",""
"2100",INSTITUTIONAL GRANTS SCI
"2101",""
"2102",""
"2103",""
"2105",""
"2107",""
"2108",""
"2109",""
"2110",""
"2111",""
"2112",""
"2113",""
"2114",""
"2116",""
"2117",""
"2119",""
"212",""
"2120",""
"2121",""
"2122",""
"2123",""
"2124",""
"2125",""
"2126",""
"2128",""
"2129",""
"2131",""
"2132",""
"2133",""
"2134",""
"2135",""
"2136",""
"2139",""
"2140",""
"2141",""
"2142",""
"2143",""
"2144",""
"2145",""
"2146",""
"2147",""
"2148",""
"2149",""
"2150",""
"2151",""
"2152",""
"2153",""
"2154",""
"2155",""
"2156",""
"2157",""
"2158",""
"2159",""
"2162",""
"2165",""
"2166",""
"2168",""
"2169",""
"2170",""
"2171",""
"2172",""
"2173",""
"2176",""
"2177",""
"2179",""
"2180",""
"2181",""
"2182",""
"2183",""
"2184",""
"2185",""
"2186",""
"2187",""
"2188",""
"2189",""
"219",""
"2191",""
"2192",""
"2193",""
"2194",""
"2195",""
"2197",""
"2198",""
"2201",""
"2202",""
"2203",""
"2204",""
"2205",""
"2206",""
"2207",""
"2208",""
"2210",""
"2211",""
"2212",""
"2213",""
"2214",""
"2216",""
"2217",""
"2218",""
"2219",""
"2220",""
"2221",""
"2223",""
"2224",""
"2225",""
"2226",""
"2227",""
"2228",""
"2229",""
"2230",""
"2231",""
"2232",""
"2234",""
"2236",""
"2238",""
"2239",""
"2240",""
"2241",""
"2243",""
"2244",""
"2245",""
"2246",""
"2247",""
"2248",""
"2249",""
"2250",""
"2251",""
"2252",""
"2253",""
"2254",""
"2255",""
"2256",""
"2257",""
"2258",""
"2259",""
"2260",""
"2261",""
"2262",""
"2263",""
"2264",""
"2267",""
"2268",""
"2269",""
"2270",""
"2271",""
"2272",""
"2273",""
"2274",""
"2275",""
"2276",""
"2277",""
"2278",""
"2279",""
"2281",""
"2283",""
"2284",""
"2285",""
"2286",""
"2287",""
"2288",""
"2289",""
"2290",""
"2292",""
"2296",""
"2297",""
"2298",""
"2299",""
"2300",REIMBURSABLE APPORTIONMENT
"2301",""
"2302",""
"2303",""
"2304",""
"2305",""
"2306",""
"2308",""
"2309",""
"2310",""
"2312",""
"2313",""
"2314",""
"2315",""
"2316",""
"2318",""
"2319",""
"2320",""
"2321",""
"2322",""
"2324",""
"2326",""
"2328",""
"2331",""
"2332",""
"2333",""
"2334",""
"2335",""
"2336",""
"2337",""
"2340",""
"2341",""
"2342",""
"2343",""
"2344",""
"2346",""
"2347",""
"2348",""
"2349",""
"2350",""
"2351",""
"2352",""
"2353",""
"2354",""
"2355",""
"2356",""
"2357",""
"2359",""
"236",""
"2360",""
"2362",""
"2363",""
"2364",""
"2366",""
"2368",""
"2370",""
"2371",""
"2372",""
"2373",""
"2374",""
"2375",""
"2376",""
"2377",""
"2378",""
"2379",""
"2380",""
"2381",""
"2382",""
"2383",""
"2385",""
"2386",""
"2388",""
"2389",""
"2390",""
"2391",""
"2392",""
"2393",""
"2394",""
"2395",""
"2396",""
"2397",""
"2399",""
"2400",""
"2401",""
"2402",""
"2403",""
"2404",""
"2405",""
"2406",""
"2407",""
"2408",""
"2410",""
"2411",""
"2414",""
"2415",""
"2416",""
"2417",""
"2418",""
"2419",""
"2421",""
"2423",""
"2425",""
"2426",""
"2427",""
"2428",""
"2430",""
"2431",""
"2432",""
"2433",""
"2434",""
"2435",""
"2436",""
"2437",""
"2438",""
"2439",""
"2440",""
"2442",""
"2443",""
"2444",""
"2445",""
"2446",""
"2447",""
"2448",""
"2449",""
"2450",""
"2451",""
"2452",""
"2453",""
"2454",""
"2455",""
"2456",""
"2457",""
"2458",""
"2459",""
"2460",""
"2462",""
"2463",""
"2464",""
"2465",""
"2467",""
"2469",""
"2470",""
"2471",""
"2472",""
"2473",""
"2474",""
"2475",""
"2476",""
"2477",""
"2478",""
"2479",""
"2480",""
"2481",""
"2482",""
"2483",""
"2485",""
"2490",""
"2492",""
"2493",""
"2494",""
"2495",""
"2496",""
"2497",""
"2498",""
"2499",""
"2500",""
"2501",""
"2502",""
"2506",""
"2507",""
"2509",""
"2511",""
"2512",""
"2513",""
"2515",""
"2516",""
"2517",""
"2519",""
"2520",""
"2521",""
"2522",""
"2523",""
"2524",""
"2525",""
"2526",""
"2527",""
"2528",""
"2529",""
"2530",""
"2531",""
"2532",""
"2533",""
"2534",""
"2535",""
"2536",""
"2537",""
"2538",""
"2539",""
"2540",""
"2541",""
"2542",NASA SOLAR OBSERVATORY
"2543",""
"2544",""
"2545",""
"2546",""
"2547",""
"2548",""
"2549",""
"2550",""
"2552",""
"2554",""
"2555",""
"2556",""
"2557",""
"2559",""
"2562",""
"2563",""
"2564",""
"2565",""
"2566",""
"2568",""
"2569",""
"2570",""
"2571",""
"2574",""
"2575",""
"2576",""
"2577",""
"2578",""
"2579",""
"2580",""
"2581",""
"2585",""
"2587",""
"2588",""
"2589",""
"2590",""
"2591",""
"2593",""
"2594",""
"2595",""
"2596",FEMA SEISMOLOGY COMMITTEE
"2597",""
"2598",""
"2599",""
"2600",""
"2602",""
"2604",""
"2605",""
"2606",""
"2608",""
"2609",""
"2610",""
"2611",""
"2612",""
"2614",""
"2615",""
"2616",""
"2617",""
"2618",""
"2619",""
"2620",""
"2621",""
"2622",""
"2623",""
"2624",""
"2625",""
"2626",""
"2627",""
"2629",""
"2631",""
"2632",""
"2633",""
"2634",""
"2635",""
"2636",""
"2637",""
"2638",""
"2639",""
"2640",""
"2642",""
"2643",""
"2644",""
"2645",""
"2646",""
"2647",""
"2648",""
"2649",""
"2650",""
"2651",""
"2652",""
"2653",""
"2654",""
"2655",""
"2656",""
"2657",""
"2658",""
"2659",""
"2661",""
"2662",""
"2667",""
"2668",""
"2669",""
"2670",""
"2671",""
"2672",""
"2673",""
"2674",""
"2676",""
"2677",""
"2678",""
"2679",""
"2680",""
"2681",""
"2682",""
"2683",""
"2684",""
"2685",""
"2686",""
"2687",""
"2688",""
"2689",""
"2692",""
"2693",""
"2694",""
"2695",""
"2696",""
"2697",""
"2698",""
"2699",""
"2700",""
"2701",""
"2702",""
"2703",""
"2705",""
"2706",""
"2707",""
"2708",""
"2709",""
"2710",""
"2711",""
"2712",""
"2714",""
"2715",""
"2716",""
"2717",""
"2718",""
"2720",""
"2721",""
"2723",""
"2724",""
"2725",""
"2726",""
"2727",""
"2728",""
"2729",""
"2730",""
"2731",""
"2732",""
"2733",""
"2735",""
"2736",""
"2737",""
"2738",""
"2739",""
"2740",""
"2742",""
"2746",""
"2747",""
"2748",""
"2749",""
"2750",""
"2751",""
"2752",""
"2753",""
"2754",""
"2755",""
"2756",""
"2757",""
"2758",""
"2759",""
"2760",""
"2761",""
"2762",""
"2763",""
"2764",""
"2765",""
"2766",""
"2767",""
"2769",""
"2770",""
"2771",""
"2772",""
"2773",""
"2774",""
"2775",""
"2777",""
"2778",""
"2779",""
"2780",""
"2781",""
"2782",""
"2784",""
"2785",""
"2786",""
"2787",""
"2788",""
"2790",""
"2791",""
"2792",""
"2793",""
"2794",""
"2795",""
"2796",""
"2797",""
"2798",""
"2799",""
"2800",COMPUTER & COMPUTAT RESEAR-RES
"2801",EMBEDDED & HYBRID SYSTEMS(EHS)
"2802",TRUSTED COMPUTING
"2810",COMPUTER RESEARCH
"2811",THEORETICAL COMPUTER SCIENCE
"2812",DEVEL. COMPUTER USE
"2814",SOFTWARE SYSTEMS
"2815",COMPUTER SYSTEMS DESIGN
"2820",COMPUTER APPL IN RESEARCH
"2822",SOFTWARE ENGINEERING
"2823",INTELLIGENT SYSTEMS
"2824",NETWORKING FOR SOCIETY
"2829","""COM APP"
"2830",COMPUTER RESEARCH EQUIPMENT
"2832",CURRICULUM ACTIVITY
"2833",SPECIAL PROCECTS
"2840",SPECIAL PROJECTS (CDA FRONT OF
"2841",SPECIAL PROJECTS& STUDIES
"2842",COMPUTERS AND SOCIETY
"2843",COORDINATED EXPERIMENTAL RESEA
"2851",COORD EXP RESEARCH FACILITIES
"2853",NEW FACULTY RESEARCH GRANTS PR
"2860",THEORY OF COMPUTING
"2861",EXPERIMENTAL SOFTWARE SYSTEMS
"2865","""NUMERIC"
"2875",SYSTEM SOFTWARE
"2876",DISTRIBUTED SYSTEMS
"2877",PROGRAMMING LANGUAGES &COMPILR
"2878",SPECIAL PROJECTS - CCF
"2880",SOFTWARE ENGINEERING AND LANGU
"2882",CISE CHALLENGES
"2884",NEXT GENERATION SOFTWARE PROGR
"2885",CISE RESEARCH INFRASTRUCTURE
"2890",CISE RESEARCH RESOURCES
"2900",""
"2901",""
"2902",""
"2903",""
"2904",""
"2905",""
"2906",""
"2907",""
"2909",""
"2910",""
"2911",""
"2913",""
"2914",""
"2915",""
"2916",""
"2917",""
"2918",""
"2919",""
"2920",""
"2921",""
"2922",""
"2923",""
"2924",""
"2926",""
"2927",""
"2928",""
"2929",""
"2930",""
"2931",""
"2932",""
"2933",""
"2934",""
"2936",""
"2937",""
"2938",""
"2939",""
"2940",""
"2941",""
"2942",""
"2943",""
"2944",""
"2947",""
"2948",""
"2951",""
"2952",""
"2954",""
"2955",""
"2956",""
"2958",""
"2959",""
"2960",""
"2961",""
"2962",""
"2963",""
"2964",""
"2965",""
"2966",""
"2967",""
"2968",""
"2969",""
"2970",""
"2971",""
"2972",""
"2973",""
"2974",""
"2975",""
"2976",""
"2977",""
"2978",""
"2979",""
"2980",""
"2981",""
"2982",""
"2983",""
"2984",""
"2985",""
"2986",""
"2987",""
"2988",""
"2989",""
"2990",""
"2992",""
"2993",""
"2994",""
"2995",""
"2996",""
"2997",""
"2998",""
"2999",""
"300",""
"3001",""
"3003",""
"3004",""
"3009",""
"3010",""
"3011",""
"3012",""
"3013",""
"3014",""
"3015",""
"3016",""
"3017",""
"3018",""
"3019",""
"3020",""
"3021",""
"3022",""
"3023",""
"3024",""
"3025",""
"3026",""
"3027",""
"3028",""
"3029",""
"3030",""
"3031",""
"3032",""
"3034",""
"3035",""
"3036",""
"3037",""
"3039",""
"3040",""
"3042",""
"3044",""
"3045",""
"3046",""
"3047",""
"3048",""
"3050",""
"3053",""
"3054",""
"3055",""
"3056",""
"3058",""
"3060",""
"3061",""
"3062",""
"3063",""
"3065",""
"3066",""
"3067",""
"3068",""
"3070",""
"3071",""
"3072",""
"3073",""
"3074",""
"3075",""
"3076",""
"3077",""
"3078",""
"3080",""
"3081",""
"3082",""
"3083",""
"3085",""
"3087",""
"3088",""
"3090",""
"3092",""
"3093",""
"3095",""
"3096",""
"3097",""
"3098",""
"3099",""
"3101",""
"3102",""
"3103",""
"3104",""
"3105",""
"3106",""
"3107",""
"3108",""
"3109",""
"3111",""
"3112",""
"3113",""
"3114",""
"3115",""
"3116",""
"3117",""
"3119",""
"3120",""
"3122",""
"3123",""
"3124",""
"3125",""
"3126",""
"3127",""
"3130",""
"3133",""
"3134",""
"3135",""
"3136",""
"3137",""
"3138",""
"3139",""
"3140",""
"3142",""
"3143",""
"3145",""
"3146",""
"3147",""
"3148",""
"3149",""
"3151",""
"3152",""
"3153",""
"3155",""
"3156",""
"3157",""
"3159",""
"3160",""
"3161",""
"3162",""
"3163",""
"3164",""
"3165",""
"3166",""
"3167",""
"3168",""
"3169",""
"3170",""
"3171",""
"3172",""
"3174",""
"3175",""
"3177",""
"3178",""
"3179",""
"3180",""
"3181",""
"3182",""
"3183",""
"3184",""
"3185",""
"3186",""
"3187",""
"3188",""
"3189",""
"3190",""
"3191",""
"3193",""
"3194",""
"3195",""
"3196",""
"3197",""
"3198",""
"3201",""
"3203",""
"3204",""
"3205",""
"3206",""
"3207",""
"3208",""
"3209",""
"3210",""
"3211",""
"3212",""
"3213",""
"3214",""
"3215",""
"3216",""
"3217",""
"3218",""
"3219",""
"3220",""
"3221",""
"3222",""
"3223",""
"3224",""
"3225",""
"3226",""
"3227",""
"3229",""
"3230",""
"3231",""
"3232",""
"3233",""
"3234",""
"3235",""
"3236",""
"3238",""
"3239",""
"3240",""
"3241",""
"3242",""
"3243",""
"3245",""
"3246",""
"3247",""
"3248",""
"3249",""
"3250",""
"3251",""
"3253",""
"3254",""
"3255",""
"3256",""
"3257",""
"3258",""
"3260",""
"3262",""
"3263",""
"3264",""
"3265",""
"3266",""
"3267",""
"3269",""
"3271",""
"3272",""
"3273",""
"3277",""
"3278",""
"3279",""
"3280",""
"3281",""
"3282",""
"3283",""
"3284",""
"3285",""
"3286",""
"3288",""
"3289",""
"3290",""
"3291",""
"3292",""
"3293",""
"3294",""
"3295",""
"3296",""
"3297",""
"3298",""
"3299",""
"3300",""
"3301",""
"3303",""
"3304",""
"3306",""
"3307",""
"3308",""
"3312",""
"3313",""
"3314",""
"3315",""
"3316",""
"3319",""
"3320",""
"3321",""
"3322",""
"3323",""
"3324",""
"3325",""
"3326",""
"3328",""
"3329",""
"3330",""
"3332",""
"3333",""
"3334",""
"3335",""
"3336",""
"3337",""
"3338",""
"3339",""
"3340",""
"3342",""
"3343",""
"3344",""
"3345",""
"3346",""
"3348",""
"3349",""
"3350",""
"3351",""
"3352",""
"3354",""
"3355",""
"3361",""
"3362",""
"3363",""
"3364",""
"3365",""
"3366",""
"3367",""
"3368",""
"3369",""
"3370",""
"3371",""
"3372",""
"3373",""
"3374",""
"3375",""
"3376",""
"3377",""
"3378",""
"3379",""
"3380",""
"3381",""
"3382",""
"3383",""
"3384",""
"3386",""
"3387",""
"3388",""
"3389",""
"3390",""
"3391",""
"3392",""
"3394",""
"3395",""
"3396",""
"3397",""
"3398",""
"3399",""
"3400",""
"3401",""
"3402",""
"3403",""
"3404",""
"3405",""
"3406",""
"3407",""
"3408",""
"3409",""
"3410",""
"3411",""
"3412",""
"3413",""
"3414",""
"3415",""
"3416",""
"3417",""
"3418",""
"3419",""
"3420",""
"3421",""
"3422",""
"3423",""
"3424",""
"3425",""
"3426",""
"3427",""
"3428",""
"3429",""
"3431",""
"3432",""
"3433",""
"3435",""
"3436",""
"3437",""
"3438",""
"3439",""
"3440",""
"3441",""
"3442",""
"3443",""
"3444",""
"3445",""
"3446",""
"3447",""
"3448",""
"3449",""
"3450",""
"3451",""
"3453",""
"3454",""
"3455",""
"3456",""
"3457",""
"3458",""
"3459",""
"3460",""
"3461",""
"3462",""
"3463",""
"3464",""
"3465",""
"3467",""
"3468",""
"3469",""
"3470",""
"3471",""
"3472",""
"3473",""
"3474",""
"3477",""
"3481",""
"3482",""
"3483",""
"3484",""
"3485",""
"3486",""
"3487",""
"3488",""
"3489",""
"3490",""
"3491",""
"3492",""
"3493",""
"3494",""
"3495",""
"3496",""
"3497",""
"3498",""
"3499",""
"3500",""
"3501",""
"3503",""
"3504",""
"3505",""
"3506",""
"3507",""
"3509",""
"3510",""
"3512",""
"3513",""
"3514",""
"3515",""
"3517",""
"3518",""
"3519",""
"3520",""
"3521",""
"3522",""
"3523",""
"3525",""
"3526",""
"3527",""
"3528",""
"3530",""
"3531",""
"3532",""
"3533",""
"3534",""
"3535",""
"3536",""
"3537",""
"3538",""
"3539",""
"3540",""
"3541",""
"3542",""
"3543",""
"3544",""
"3545",""
"3547",""
"3548",""
"3550",""
"3551",""
"3552",""
"3553",""
"3554",""
"3555",""
"3556",""
"3557",""
"3559",""
"3560",""
"3561",""
"3562",""
"3568",""
"3569",""
"3570",""
"3571",""
"3572",""
"3573",""
"3574",""
"3575",""
"3576",""
"3577",""
"3578",""
"3579",""
"3580",""
"3581",""
"3583",""
"3584",""
"3585",""
"3586",""
"3587",""
"3588",""
"3589",""
"3590",""
"3591",""
"3592",""
"3593",""
"3594",""
"3595",""
"3596",""
"3597",""
"3598",""
"3599",""
"3600",""
"3601",""
"3602",""
"3603",""
"3604",""
"3605",""
"3606",""
"3607",""
"3608",""
"3609",""
"3610",""
"3611",""
"3612",""
"3613",""
"3614",""
"3615",""
"3616",""
"3617",""
"3618",""
"3619",""
"3620",""
"3621",""
"3622",""
"3623",""
"3624",""
"3625",""
"3626",""
"3627",""
"3628",""
"3629",""
"3630",""
"3631",""
"3632",""
"3633",""
"3634",""
"3635",""
"3636",""
"3637",""
"3638",""
"3639",""
"3640",""
"3641",""
"3642",""
"3643",""
"3644",""
"3645",""
"3646",""
"3647",""
"3649",""
"3650",""
"3651",""
"3652",""
"3653",""
"3654",""
"3655",""
"3656",""
"3657",""
"3658",""
"3659",""
"3660",""
"3661",""
"3666",""
"3667",""
"3668",""
"3669",""
"3670",""
"3671",""
"3672",""
"3673",""
"3674",""
"3676",""
"3677",""
"3678",""
"3679",""
"3680",""
"3681",""
"3682",""
"3684",""
"3685",""
"3686",""
"3688",""
"3689",""
"3690",""
"3691",""
"3692",""
"3694",""
"3695",""
"3696",""
"3697",""
"3698",""
"3700",""
"3701",""
"3702",""
"3703",""
"3704",""
"3705",""
"3708",""
"3709",""
"3710",""
"3711",""
"3712",""
"3713",""
"3714",""
"3715",""
"3716",""
"3717",""
"3718",""
"3719",""
"3720",""
"3721",""
"3722",""
"3723",""
"3725",""
"3726",""
"3727",""
"3728",""
"3729",""
"3731",""
"3732",""
"3733",""
"3734",""
"3735",""
"3736",""
"3737",""
"3738",""
"3739",""
"3740",""
"3741",""
"3742",""
"3743",""
"3744",""
"3745",""
"3746",""
"3747",""
"3748",""
"3749",""
"3750",""
"3751",""
"3752",""
"3753",""
"3754",""
"3755",""
"3756",""
"3758",""
"3760",""
"3761",""
"3762",""
"3763",""
"3764",""
"3765",""
"3766",""
"3768",""
"3769",""
"3770",""
"3771",""
"3772",""
"3773",""
"3774",""
"3775",""
"3776",""
"3778",""
"3779",""
"3780",""
"3781",""
"3782",""
"3783",""
"3785",""
"3786",""
"3787",""
"3789",""
"3790",""
"3791",""
"3792",""
"3793",""
"3794",""
"3795",""
"3796",""
"3797",""
"3798",""
"3799",""
"3800",""
"3801",""
"3802",""
"3803",""
"3804",""
"3806",""
"3809",""
"3810",""
"3811",""
"3812",""
"3813",""
"3814",""
"3815",""
"3816",""
"3817",""
"3818",""
"3819",""
"3820",""
"3821",""
"3822",""
"3823",""
"3824",""
"3825",""
"3826",""
"3829",""
"3830",""
"3833",""
"3834",""
"3835",""
"3837",""
"3838",""
"3839",""
"3840",""
"3841",""
"3842",""
"3845",""
"3846",""
"3847",""
"3848",""
"3849",""
"3850",""
"3851",""
"3852",""
"3853",""
"3854",""
"3857",""
"3858",""
"3859",""
"3860",""
"3861",""
"3862",""
"3863",""
"3865",""
"3866",""
"3867",""
"3868",""
"3871",""
"3873",""
"3874",""
"3876",""
"3878",""
"3879",""
"3880",""
"3881",""
"3882",""
"3883",""
"3884",""
"3886",""
"3887",""
"3889",""
"3893",""
"3895",""
"3896",""
"3899",""
"3901",""
"3904",""
"3911",""
"3912",""
"3913",""
"3914",""
"3915",""
"3916",""
"3918",""
"3919",""
"3920",""
"3921",""
"3922",""
"3924",""
"3926",""
"3927",""
"3929",""
"3930",""
"3932",""
"3934",""
"3935",""
"3936",""
"3943",""
"3944",""
"3946",""
"3948",""
"3949",""
"3950",""
"3952",""
"3953",""
"3954",""
"3955",""
"3957",""
"3958",""
"3960",""
"3962",""
"3963",""
"3964",""
"3967",""
"3968",""
"3969",""
"3970",""
"3971",""
"3972",""
"3974",""
"3975",""
"3979",""
"3980",""
"3981",""
"3982",""
"3983",""
"3984",""
"3987",""
"3988",""
"3989",""
"3990",""
"3991",""
"3993",""
"3994",""
"3995",""
"3996",""
"3997",""
"3998",""
"4050",COMP & INFORM SCIE & ENG-RES
"4060",CENTERS PROGRAM
"4061",NETWORKING PROGRAM
"4062",CENTERS-PHASE 2
"4063",EXPERIMENTAL COMPUTER SYSTEMS
"4064",LOCAL ACCESS
"4065",SOFTWARE
"4066",PART FOR ADVANCED COMP INFRA
"4067",RESOURCES
"4068",ADV SCIENTIF COMPUTING SPEC PR
"4070",ADVANCED SCIENTIFIC COMPUT ACT
"4080",ADVANCED COMP RESEARCH PROGRAM
"4081",SOFTWARE
"4082",EXPERI ADVANC SCIEN COMP SYSTS
"4083",POST DOC RESRCH ASSOC COMP S&E
"4088",HIGH PERF NETWK CONNECT-SCIENG
"4089",NETWORK CENTRIC MIDDLEWARE SVC
"4090",ADVANCED NET INFRA & RSCH
"4091",NETWORK INFRASTRUCTURE
"4092",COLLABORATIVE ACTIVITIES
"4093",CS NET
"4095",SPECIAL PROJECTS IN NET RESEAR
"4096",COMMUNICATIONS RESEARCH
"4097",NETWORKING RESEARCH
"4098",EXPRES
"4100",NATIONAL RADIO ASTRONOMY OBSER
"4103",""
"4104",""
"4105",""
"4107",""
"4109",""
"4111",""
"4114",""
"4116",""
"4117",""
"4118",""
"4119",""
"4120",""
"4121",""
"4122",""
"4124",""
"4126",""
"4127",""
"4128",""
"4131",""
"4132",""
"4134",""
"4138",""
"4139",""
"4140",""
"4141",""
"4142",""
"4143",""
"4144",""
"4145",""
"4146",""
"4147",""
"4148",""
"4149",""
"4150",VERY LARGE ARRAY
"4151",""
"4152",""
"4153",""
"4154",""
"4155",""
"4156",""
"4157",""
"4158",""
"4159",""
"4160",""
"4161",""
"4162",""
"4163",""
"4165",""
"4166",""
"4167",""
"4169",""
"4171",""
"4173",""
"4174",""
"4175",""
"4179",""
"418",""
"4180",""
"4182",""
"4183",""
"4184",""
"4185",""
"4186",""
"4187",""
"4188",""
"4189",""
"4190",""
"4191",""
"4193",""
"4195",""
"4196",""
"4197",""
"4198",""
"4200",NAT CENTER FOR ATMOSPHERIC RES
"4201",NAT SCIENTIFIC BALLOON FACILIT
"4202",UPPER ATMOSPHERIC FACILITIES
"4203",CLIMATE SIMULATION LAB AT NCAR
"4204",GEMINI OBSERVATORIES
"4205",""
"4206",""
"4207",""
"4208",""
"4209",""
"4211",""
"4212",""
"4213",""
"4214",""
"4215",""
"4216",""
"4217",""
"4218",""
"4219",""
"4220",""
"4221",""
"4224",""
"4225",""
"4226",""
"4228",""
"4229",""
"4230",""
"4231",""
"4232",""
"4233",""
"4234",""
"4235",""
"4236",""
"4237",""
"4239",""
"4240",""
"4241",""
"4242",""
"4243",""
"4244",""
"4245",""
"4246",""
"4248",""
"4249",""
"4250",""
"4251",""
"4252",""
"4255",""
"4258",""
"4259",""
"4260",""
"4261",""
"4262",""
"4263",""
"4264",""
"4265",""
"4266",""
"4267",""
"4268",""
"4269",""
"4270",""
"4275",""
"4276",""
"4277",""
"4278",""
"4279",""
"4280",""
"4281",""
"4282",""
"4283",""
"4284",""
"4285",""
"4286",""
"4289",""
"4290",""
"4292",""
"4293",""
"4294",""
"4295",""
"4296",""
"4297",""
"4298",""
"4299",""
"4300",NAT OPT ASTRONOMY OBSERVS-NOAO
"4303",""
"4306",""
"4309",""
"4310",""
"4311",""
"4313",""
"4314",""
"4315",""
"4316",""
"4318",""
"4320",""
"4321",""
"4324",""
"4329",""
"4330",""
"4331",""
"4332",""
"4336",""
"4338",""
"4339",""
"4340",""
"4342",""
"4343",""
"4344",""
"4345",""
"4346",""
"4347",""
"4348",""
"4349",""
"4351",""
"4352",""
"4353",""
"4354",""
"4355",""
"4359",""
"4362",""
"4363",""
"4364",""
"4365",""
"4366",""
"4367",""
"4368",""
"4369",""
"4371",""
"4372",""
"4373",""
"4374",""
"4376",""
"4377",""
"4378",""
"4380",""
"4381",""
"4382",""
"4383",""
"4384",""
"4385",""
"4387",""
"4388",""
"4389",""
"4390",""
"4391",""
"4392",""
"4393",""
"4394",""
"4395",""
"4397",""
"4399",""
"4401",""
"4402",""
"4403",""
"4404",""
"4408",""
"4409",""
"4410",""
"4411",""
"4412",""
"4413",""
"4414",""
"4415",""
"4416",""
"4417",""
"4418",""
"4419",""
"4421",""
"4422",""
"4423",""
"4424",""
"4425",""
"4427",""
"4428",""
"4429",""
"4430",""
"4431",""
"4432",""
"4433",""
"4434",""
"4435",""
"4436",""
"4438",""
"4440",""
"4441",""
"4442",""
"4443",""
"4446",""
"4447",""
"4448",""
"4450",""
"4451",""
"4452",""
"4453",""
"4454",""
"4455",""
"4456",""
"4459",""
"4460",""
"4461",""
"4462",""
"4463",""
"4466",""
"4467",""
"4469",""
"4470",""
"4471",""
"4472",""
"4475",""
"4476",""
"4477",""
"4478",""
"4479",""
"4480",""
"4481",""
"4482",""
"4483",""
"4484",""
"4485",""
"4488",""
"4489",""
"4490",""
"4491",""
"4493",""
"4494",""
"4496",""
"4498",""
"450",""
"4500",NAT ASTRONOMY & IONESPHERE CEN
"4501",""
"4502",""
"4503",""
"4505",""
"4506",""
"4507",""
"4508",""
"4510",""
"4511",""
"4513",""
"4516",""
"4517",""
"4518",""
"4519",""
"4523",""
"4524",""
"4525",""
"4526",""
"4527",""
"4528",""
"4529",""
"4530",""
"4531",""
"4532",""
"4533",""
"4534",""
"4535",""
"4536",""
"4537",""
"4538",""
"4541",""
"4542",""
"4543",""
"4544",""
"4545",""
"4546",""
"4547",""
"4548",""
"4549",""
"4550",""
"4551",""
"4553",""
"4555",""
"4556",""
"4557",""
"4558",""
"4559",""
"456",""
"4560",""
"4561",""
"4562",""
"4563",""
"4564",""
"4566",""
"4569",""
"4570",""
"4572",""
"4574",""
"4576",""
"4579",""
"4580",""
"4581",""
"4582",""
"4583",""
"4584",""
"4585",""
"4586",""
"4588",""
"4589",""
"459",""
"4590",""
"4591",""
"4593",""
"4595",""
"4596",""
"4598",""
"4599",""
"4600",SOLAR ECLIPSE SUPPORT
"4601",""
"4602",""
"4603",""
"4605",""
"4606",""
"4610",""
"4611",""
"4612",""
"4613",""
"4614",""
"4616",""
"4618",""
"4619",""
"4620",""
"4621",""
"4623",""
"4624",""
"4625",""
"4626",""
"4627",""
"4630",""
"4631",""
"4632",""
"4633",""
"4634",""
"4635",""
"4639",""
"4641",""
"4642",""
"4643",""
"4647",""
"4648",""
"4649",""
"4650",RADIO SPECTRUM MANAGEMENT
"4651",""
"4652",""
"4653",""
"4654",""
"4655",""
"4657",""
"4658",""
"4660",""
"4661",""
"4662",""
"4663",""
"4664",""
"4665",""
"4666",""
"4667",""
"4668",""
"4669",""
"4670",""
"4671",""
"4673",""
"4676",""
"4677",""
"4678",""
"4679",""
"4680",""
"4681",""
"4682",""
"4683",""
"4684",""
"4685",""
