"code","text"
"070E",INTEG OF HUMAN & COGNITIVE
"070P",CAREER EVALUATION
"071E",MFG ENTERPRISE OPERATIONS
"071P",SGER EVALUATION
"072E",NETWORKS & QUEUING SYSTEMS
"073E",OPTIMIZATION & DECISION MAKING
"074E",PERF ANALYSIS & RELIABILITY
"074F",NHMFL-OPERATIONS & MAINTENANCE
"075E",QUALITY & MAINTENANCE SYSTEMS
"075F",CHESS
"075P",QEM WKSHP (CAREER)
"076E",SERVICE ENTERPRISE SYSTEMS
"076F",CHESS-OPERATIONS & MAINTENANCE
"076P",MRI ENHANCEMENT EVAL.
"077E",SIMULATION MODELS
"078E",ENTERPRISE DESIGN & LOGISTICS
"079E",VISUALIZATION & VIRTUAL DESIGN
"080E",DEFORMATION PROCESSES
"080F",CHRNS-OPERATIONS & MAINTENANCE
"081E",NANO SCALE ASSEMBLY
"082E",MFG MACHINES & METROLOGY
"082P",CAREER OUTREACH MTGS/WRKSHPS
"083E",MATERIAL TRANSFORMATION PROC
"083P",NEUROSCIENCE ACTIVITIES
"084E",NANOMANUFACTURING
"085E",POLYMER & COMPOSITES PROCESSES
"086E",MULTISCALE PROCESS MODELING
"087E",SENSING & CONTROL
"088E",THERMALLY DRIVEN PROCESSES
"089E","""PLANNING"
"090E",Chem/Bio and Physical Diagnostics
"091E",Light generation & detection
"092E",Control systems & applications
"093E",System fab/packaging & assembly
"094E",Optoelectronic devices
"095E",Photonic integration
"096E",High freq comm/sensing circuits
"097E",High Freq Devices & Circuits
"098E",Antennas and Electromagnetics
"099E",High voltage switching & conversion
"1",cld
"100E",Novel devices & vacuum electronics
"101E",Printed and flexible electronics
"1022",OFFICE OF MULTIDISCIP ACT-RESEARCH
"1023",AD RESERVE
"1024",OFFICE OF MULTIDISCIP ACT-EDUCATION
"102E",Quantum/high perform algorithm
"1031",STUDIES OF THE EARTH'S DEEP INTERIOR
"1032",ADVANCED TECHNOLOGY EDUCATION
"1033",MOLECULAR EVOLUTION POSTDOCS
"1035",MICROWAVE PROPOSALS
"1036",BIO MINORITY POSTDOC RESEARCH FELLOW PGM
"1037",DETERIORATION SCIENCE
"1038",ASSESSMENT TECHNOLOGIES
"1039",RENEWAL ENGINEERING
"103E",Energy efficient electronics
"1041",INST EFFECTIVENESS AND PRODUCTIVITY
"1043",ENVIRONMENTAL GEOCHEMISTRY
"1044",ACTIVE TECTONICS
"1045",CAREER: FACULTY EARLY CAR DEV
"1046",CHEMISTRY CURRICULUM INITIATIVES
"1047",MATHEMATICS CURRICULUM INITIATIVES
"1048",COMBINED RES-INDUST SCHOLORSHIP PROJECT
"1049",INDUSTRY-UNIV COOPERATIVE RSCH PROJECTS
"104E",MEMS/NEMS
"1051",BIOLOGICAL PHYSICS
"1052",RAPID PROTOTYPING
"1053",GLOB LEARN & OBSER TO BEN ENVI
"1054","""COLLAB RESRCH INIT IN NEURO"
"1055",INTERFACES TO SUPERCONDUCTORS
"1056",PARTNERSHIPS IN TAXONOMY
"1057",CIS BASE RESEARCH
"1058",COMPOSITE AND HYBRID STRUCTURES
"1059",SENSORS AND SENSOR SYSTEMS FOR CIS
"105E",RF/Microwave & mm-wave tech
"1061",VIETNAM
"1062",BASIC PLASMA SCIENCE & ENGINEERING
"1063",METABOLIC ENGINEERING INITIATIVE
"1064",URBAN INFRASTRUCTURE
"1065",TECH RELEVANT TO NEXT GENRATION VEHICLES
"1066",SOUTH AFRICA
"1067",SMALL PACIFIC ISLAND NATIONS
"1068",MONGOLIA
"1069",COLLABORATIVE RESEARCH OPPORTUN IN CISE
"106E",Mixed signal technologies
"1070",INTERNATIONAL CONTINENTAL DRILLING PROG
"1071",HUMAN LANGUAGE RESOURCES
"1072",HIGH PERFORMANCE
"1073",HIGHER EDUCATION
"1074",K-12
"1075",LIFE IN EXTREME ENVIRONMENTS
"1076",PECASE-award
"1078",AWARDS TO FACILITATE GEOSCIENCE EDUCATIO
"1079",ARCTIC RESEARCH
"107E",Magnetics and spin electronics
"1080",EVOLUTION OF DEVELOP MECHANISM
"1081",CIRE OPPORTUNITY FUND
"1084",NANOTECHNOLOGY INITIATIVE
"1085",CISE COUNCIL NATIONAL PESQUISAS CNPq
"1086",DIGITAL LIBRARIES INITIATIVE
"1087",INTERNET TECHNOLOGIES
"1088",CISE RESEARCH INFRASTRUCTURE
"1089",MICRO OBS & MICRO INTER & PRO
"108E",Bioelectronics
"109",Director's Awards
"1091",COLLAB RSCH AT UNDERGRAD INSTI
"1092",SBER HUMAN CAPITAL INITIATIVE
"1093",HDGC RESEARCH CENTERS AND TEAMS
"1094",POLICY SCIENCES
"1095",TERRESTRIAL ECOLOGY FOR GC (TECO)
"1096",NEURAL SYSTEMS
"1097",DIVERSITY: ROLE IN ECOSYSTEMS
"1099",NSF/EPA JOINT COMPETITION
"109E",Sys theory in biology & medicine
"1101",RESEARCH RESOURCES
"1102",BIOLOGICAL FACILITIES
"1103",TECHNIQUE DEVELOPMENT
"1104",FIELD STATIONS
"1106",LIVING STOCK COLLECTIONS
"1107",COMPUTATIONAL BIOLOGY ACTIVITI
"1108",INSTRUMENTAT & INSTRUMENT DEVP
"1109","""STUDIES IN SCIE"
"110E",EDUCATION RESEARCH
"110P",AAAS FELLOWS
"1111",DEVELOPMENTAL SYSTEMS CLUSTER
"1112",GENES AND GENOME SYSTEMS
"1113",PLANT SCIENCE INITIATIVE
"1114",CELLULAR SYSTEMS
"1115",RESEARCH TRAINING
"1116",EUKARYOTIC GENETICS
"1117",CELLULAR PHYSIOLOGY
"1118",PLANT FUNGAL & MICROB DEV MECH
"1119",ANIMAL DEVELOPMENTAL MECHANSMS
"111E",CENTERS: EMERGING TECHNOLOGY
"1121",ECOLOGY
"1122",SYSTEMATIC BIOLOGY
"1123",POPULAT BIOLOGY & PHYSIOL ECOL
"1124",ECOSYSTEMS STUDIES
"1125",BIOLOGICAL RESEARCH RESOURCES
"1126",LONG-TERM ECOLOGICAL RES (LTER
"1127",EVOLUTIONARY PROCESSES CLUSTER
"1128",POP & COMMUNITY ECOL CLUSTER
"1129",LONG-TERM PROJCTS IN ENVIR BIO
"112E",CENTERS: ENGINEERED SYSTEMS
"1131",ARABIDOPSIS
"1132",CELLULAR ORGANIZATION
"1133",ARMY FT MONMOUTH/NSF SSM MOU
"1134",FUNCTINL ORGANIZATN & DYNAMICS
"1135",UNGRAD MENTORING IN ENVIR BIOL
"1136",SIGNAL TRANSDCTN/CELL REGULATN
"1137",SPECIAL PROJECTS-WOMEN & GIRLS INITIATIV
"1138",SPEC PROJ-PERSONS WITH DISABIL INITIATIV
"113E",ENG CURRICULUMN DEVELOPMENT
"1140",MOLECULAR & GENETIC BIOSCIENCE
"1141",PHYSIOLOG & STRUCTURAL SYS
"1142",CELLULAR BIOCHEMISTRY
"1143",BIOCHEMISTRY
"1144",BIOMOLECULAR SYSTEMS
"1145",INTEGRATIVE PLANT BIOLOGY
"1146",ANIMAL SYSTEMS PHYSIOLOGY
"1147",ENDOCRINOLOGY
"1148",ECOLOGICAL & EVOLUTIONARY PHYS
"114E",CENTERS: OTHER RESEARCH CENTERS
"1151",BIOCHEMISTRY
"1154",GENE EXPRESSION
"1155",INTEGRATIVE ANIMAL BIOLOGY
"1156",MICROBIAL GENETICS
"1158",BIOMOLECULAR PROCESSES
"115E",RESEARCH EXP FOR TEACHERS
"1160",IBN ANIMAL BEHAVIOR
"1162",COMPUTATIONAL NEUROSCIENCE
"1163",RSRCH STARTER GRANTS IN BIOSCI
"1164",MOLECULAR BIOPHYSICS
"1165",ADVANCES IN BIO INFORMATICS
"1166",MOLECULAR BIOCHEMISTRY
"1167",MULTIDISCIPLINARY BIOTECHNOLOGY
"1168",METABOLIC BIOCHEMISTRY
"1169",RECOG AWDS FOR INTEG OF R&E
"116E",RESEARCH EXP FOR UNDERGRADS
"1170",NEUROBIOLOGY
"1171",PHYLOGENETIC SYSTEMATICS
"1172",TAXONOMY AND CLASSIFICATION
"1173","""BIOGEOGRPH"
"1174",POPULATION DYNAMICS
"1175",POPULATION & QUANTITA GENETICS
"1176",LIFE HISTORIES & POP DYNAMICS
"1177",COST EFFECTIVE HEALTH CARE TECHNOLOGIES
"1178",BIOSYSTEMS ANALYSIS AND CONTROL
"1179",ENVIRONMENTAL IMPLICATIONS
"117E",TECHNOLOGY INNOVATION
"1180",HUMAN COGNITION & PERCEPTION
"1181",ECOSYSTEM STUDIES
"1182",POP & COMMUNITY ECOL PROG
"1183",POPULATION INTERACTIONS
"1184",INTEGRATIVE & THEORETC ECOLOGY
"1185",SENSORY SYSTEMS
"1187",PECASE- eligible
"1188",SYNAPTIC MECHANISMS
"1189",MAJOR RESEARCH INSTRUMENTATION
"118E",GRADUATE EDUCATION
"1190",DEVELOPMENTAL NEUROSCIENCE
"1191",BEHAVIORAL NEUROSCIENCE
"1192",NEURONAL AND GLIAL MECHANISMS
"1193",NEUROENDOCRINOLOGY
"1195",LONG TERM ECOLOGICAL RESEARCH
"1196",LONG-TERM RSCH IN ENVIR BIO
"1197",BIOLOGICAL RESEARCH COLLECTION
"1198",BIODIVERSITY SURVEYS & INVENT
"1199",CROSS-SITE LTER
"119E",FELLOWSHIPS
"1200",PHYSICS UNDISTRIBUTED
"1201",EXPERIMENTAL PROJECTS FOR WOMEN & GIRLS
"1202",DIVERSITY IN THE SCIENTIFIC WORKFORCE
"1203",EXPERIM PROJECTS FOR PERSONS WITH DISABI
"1204",PARTICLE ASTROPHYSICS
"1205",LABORATORY ASTROPHYSICS
"1206",THEORETICAL & COMPUTATIONAL ASTROPHYSICS
"1207",OBSERVATIONAL ASTRONOMY
"1208",SENSOR INITIATIVE
"120E",TRAINEESHIPS
"1214",PLANETARY ASTRONOMY
"1215",STELLAR ASTRONOMY & ASTROPHYSC
"1216",GALACTIC ASTRONOMY PROGRAM
"1217",EXTRAGALACTIC ASTRON & COSMOLO
"1218",ADVANCED TECHNOLOGIES & INSTRM
"1219",SPECIAL PROGRAMS IN ASTRONOMY
"121E",GRAD-K
"1220",ELEMENTARY PARTICLE PHYSICS
"1221",ELEMENTARY PARTICLE ACCEL USER
"1222",SUP OF CORNELL ELEC RING (CESR
"1223",LHC OPERATIONS
"1226",INDIAN OCEAN EARTHQUAKE & TSUNAMI
"1227",BIO MINORITY STARTER GRANT
"1228",MINORITY INVOLVEMENT -- BIO
"122E",CENTERS: OTHER INDUSTRY-UNIV
"1230",INTERMEDIATE ENERGY NUCLAR PHY
"1231",FACILITIES
"1232",HADRONS AND LIGHT NUCLEI
"1233",NUCLEAR STRUCTURE & REACTIONS
"1234",NUCLEAR PRECISION MEASUREMENTS
"1235",NUCLEAR SCIENCES
"1237",WATER AND WATERSHEDS
"1238",TECH FOR SUSTAINABLE ENVIRONMENT
"1239",VALUATION
"123E",CENTERS: ADVANCED MATERIALS
"1240","""ATOMIC"
"1241",ATOMIC & MOLECULAR PHYSICS
"1242",PLASMA PHYSICS
"1243",GRAVITATIONAL EXPERIMENTS
"1244",GRAVITATIONAL THEORY
"1245",THEORETICAL PHYSICS
"1247",OTHER THEORY
"1248",PHYSICS-OTHER
"1249",GRAVITATIONAL PHYSICS
"124E",CENTERS: BIOENG & HEALTH CARE
"1250",OLD-THEORETICAL PHYSICS
"1252",LIGO RESEARCH SUPPORT
"1253",OFFICE OF MULTIDISCIPLINARY AC
"1254",INSTRU DEVEL FOR NANO SCI & ENG (NANO95)
"1255",INDIANA UNIV (CYCLOTRON FACIL)
"1257",MID-SCALE INSTRUMENTATION
"1258",TOPOLOGY AND FOUNDATIONS
"1259",STATISTICS & PROBABILITY
"125E",CENTERS: CIVIL INFRASTRUCTURE SYS
"1260",INFRASTRUCTURE PROGRAM
"1261",CLASSICAL ANALYSIS
"1262",MODERN ANALYSIS
"1263",PROBABILITY
"1264","""ALGEBRA"
"1265",GEOMETRIC ANALYSIS
"1266",APPLIED MATHEMATICS
"1267",TOPOLOGY
"1268",FOUNDATIONS
"1269",STATISTICS
"126E",CENTERS: HAZARD MIT & WARNING
"1271",COMPUTATIONAL MATHEMATICS
"127E",CENTERS: ENERGY
"127P",CEOSE Symposium
"1280",NCO PROGRAM OFFICE
"1281",ANALYSIS PROGRAM
"1284",ATOMIC THEORY
"1285",NUCLEAR THEORY
"1286",ELEMENTARY PARTICLE THEORY
"1287",MATHEMATICAL PHYSICS
"1289",PRECISION MEASUREMENTS
"128E",CENTERS: ENVIRONMENT
"1290",OPTICAL PHYSICS
"1291",ATOMIC & MOLECULAR DYNAMICS
"1292",ATOMIC & MOLECULAR STRUCTURE
"1293","""LIGO"
"1295",PARTICLE ASTROPHYSICS
"1299",MILLIMETER ARRAY (ALMA)
"129E",CENTERS: MANUFACTURING & PROC
"1300",BBS-RESERVE
"1302",ANTARCTIC ECOSYSTEMS
"1303",CLIMATE MODELING & PREDICTION
"1304",EARTH SYSTEM HISTORY
"1305",ECOLOGICAL DIVERSITY
"1306",ECOLOGICAL RATES OF CHANGE
"1307",GEOSYSTEM DATABASES
"1308",GLOBAL OCEAN ECOSYSTEMS DYNAMICS
"1309",GLOBAL TROPOSPHERIC CHEMISTRY
"130E",CENTERS: MICRO/OPTO ELECTRONICS
"1310",ANTHROPOLOGY
"1311",LINGUISTICS
"1312",GREENHOUSE GAS DYNAMICS
"1314",INSTITUTES FOR GLOBAL CHANGE
"1315",JOINT GLOBAL OCEAN FLUX STUDY
"1316",LAND-MARGIN ECOSYSTEMS RESEARCH
"1317",METHODS FOR INTEGRATED ASSESSMENTS
"1318",POLAR OZONE-UV RADIATION EFFECTS
"1319",RIDGE INTERDISC GLOBAL EXPERIMENTS
"131E",CENTERS: NANOSCIENCE & TECH
"1320",ECONOMICS
"1321",DECISION RISK & MANAGEMENT SCI
"1322",SEA LEVEL CHANGES
"1323",SOLAR INFLUENCES
"1324",CLIMATE VARIABILITY AND PREDICTABILITY
"1325","""WATER & ENERGY: ATMO"
"1326",WORLD OCEAN CIRC EXPERIMENTS
"1327",SBE INSTRUMENTATION
"1329",PLANT GENOME RESEARCH PROJECT
"132E",CENTERS: SENSING & INFO SYS
"1331",SOCIOLOGY
"1332",SOCIAL PSYCHOLOGY
"1333","""METHOD"
"1335",IGERT FULL PROPOSALS
"1337",KDI/KN
"1338",KDI/LIS
"1339",KDI/NCC
"1340",ENGINEERING EDUCATION
"1345",KDI: OTHER
"1346",KDI/KN
"1347",KDI/LIS
"1348",KDI/NCC
"1349",URBAN RSCH INITIATIVE PROPOSAL
"134E",EXPLOSIVES & THRTS EXP SMALL
"1352",GEOGRAPHY AND SPATIAL SCIENCES
"1353",Hist & Philosophy of SET
"1355",EGC EDUCATIONAL ACTIVITIES
"1356",INTEGRATED RSCH CHALL IN ENVIO
"1357",URBAN RSCH INITIATIVE-OPP FUND
"1358",CHILD LEARNING AND DEVELOPMENT
"1359",RES EXP FOR TEACHERS(RET)-SITE
"135E",EXPLOSIVES & THRTS EXP LARGE
"1360",HUMAN RESOURCES DEVELOPMENT
"1363",CHE EDUCATION CENTERS
"1364",INTERNATIONAL DIGITAL LIBRARIES COLLABOR
"1366",BIOCOMPLEXITY
"1367",DDOP-WIRELESS TECH & INFO NETW
"1369",DECIS MAKING & VAL FOR ENVIRON
"136E",Chemical Separation Processes
"1370",POLITICAL AND POLICY SCIENCE
"1371",POLITICAL SCIENCE
"1372",LAW AND SOCIAL SCIENCES
"1373",PNGV-ADVANCED MANUFACTURING
"1374",PNGV-MATERIALS
"1376",PNGV-OTHER
"137E",Neural-engineering
"1381","""OPPORTUNITY FUND"
"1382",OCEAN ACIDIFICATION
"1384",EDUCATION RESEARCH INITIATIVE
"1385",SPECIAL STUDIES AND ANALYSES
"1386",ENVIRONMENTAL STATISTICS
"1387",DIGITAL GOVERNMENT PROGRAM
"1388",INFRASRUCTURE COMPETITION
"1389",CARBON CYCLE RESEARCH
"138E",Stem cells/regenerative medicine
"1390",CULTURAL ANTHROPOLOGY
"1391",ARCHAEOLOGY
"1392",Biological Anthropology
"1393",ARCHAEOMETRY
"1394",DISSERTATIONS
"1397",CROSS-DIRECTORATE ACTIV PROGR
"1398",BIO INFOR POSTDOCT RSCH FELLOW
"1399",MULTILINGUAL INFORMATION ACCESS & MGMT
"139E",Macromolecule Markers
"1401",CATALYSIS AND BIOCATALYSIS
"1402",BIOCHEMICAL & BIOMASS ENG
"1403",PROCESS & REACTION ENGINEERING
"1406",THERMAL TRANSPORT PROCESSES
"1407","""COMBUSTION"
"140E",Photon-cell Interact&Mini Dev
"1410","""ENG SCI IN CHEM"
"1411",CHEMICAL & BIOCHEMICAL SYSTEMS
"1412",HEAT TRANSFER
"1413",ENGINEERING ENERGETICS
"1414",INTERFAC PROCESSES & THERMODYN
"1415",PARTICULATE &MULTIPHASE PROCES
"1416","""KINETICS"
"1417",CHEMICAL & BIOLOGICAL SEPAR
"141E",Plasmonic nanostructures
"1426",GROUND MOTION & TSUNAMIS
"1427",DYNAMIC STRUCTURAL ANALYSIS
"142E",Multi-sens probes & platforms
"1430",MECHANICAL SCIENCES & ENG-RES.
"1432",FLUID MECHANICS PROGRAM
"1434",SOLID MECHANICS
"1435","""WATER RES"
"1436",MECHANICAL SYSTEMS
"1438",GENERAL HYDRAULICS & WATER RES
"143E",Biomacro & micronano interfac
"1440",ENVIRONMENTAL ENGINEERING
"1441",MECHANICS
"1442",CONSTRUCTION AND INFRASTRUCTUR
"1443",FLUID DYNAMICS
"1444",SURFACE ENGINEERING
"1445",DYNAMICS & CONTROL
"1446",MATERIALS
"1448",GEOTECHNICAL I
"144E",Synthetic biology
"1450","""ENG SCIE IN ELEC"
"1451","""AUTO"
"1452",POWER SYSTEMS
"1453",COMMU SYSTEMS & SIGNAL PROCESS
"1454",SYSTEMS THEORY
"1455","""QUANT ELECTRON"
"1456",SOLID-STATE&MICROSTRUCTURE RES
"1457",COMPUTER ENGINEERING (OTHER)
"1458",NATIONAL NANOFABRICATION FACIL
"1459",COMMUNICATIONS SYSTEMS
"145E",Water sustainability
"1462","""QUANTUM ELECTRONICS"
"1463",INTEGRATION ENGINEERING
"1464",ENGINEERING DESIGN AND INNOVAT
"1465",PRODUCTION SYSTEMS
"1467",MATERIALS PROCESSING AND MANFG
"1468",MANUFACTURING & CONST MACH EQP
"146E",Solar energy
"1471",GEOTECHNICAL ENGINEERING
"1472",OCEAN ENGINEERING SYSTEMS
"1473",STRUCTURES I
"1474",NAT & MAN-MADE HAZARD MITIGATI
"1476",SOFTWARE SYSTEMS DESIGN
"147E",Wind&Misc. sustainable energy
"1480",ENGINEERING RESEARCH CENTERS
"1483",EARTHQUAKE ENGINEER RESRCH CTR
"1484",CHEMICAL REACTION PROC-GENERAL
"148E",Combustion
"1490",FUNDAMNTL RES IN EMERG & CRITI
"1491","""BIOTECH"
"1492",EMERGING TECHNOLOGIES INITIAT
"1493",LIGHTWAVE TECHNOLOGY
"1494",NEUROENGINEERING
"1495",COMPUTATIONAL ENGINEERING
"1496",GEOTECHNICAL II
"1497",ARCHITECTURE & MECHAN SYSTEMS
"1498",STRUCTURES II
"1499",EARTHQUAKE SYSTEMS INTEGRATION
"149E",Granular systems
"1500",ENVIRONMENTAL SCIENCES-RESERVE
"1501",MICROELECTROMECHANICAL RSCH
"1502",ELECTRONIC DEVICES
"1503",OPTICAL COMMUNICATIONS SYSTEMS
"1504",GRANT OPP FOR ACAD LIA W/INDUS
"1505",STTR PHASE I
"1508",INFOR DISSEM ACTIV FOR PERSONS WITH DISA
"1509",RESEARCH ON HUMAN LANGUAGE TECHNOLOGY
"150E",Conduction/Diffusion
"1510",ALL-OPTICAL NETWORK AND COMMUNICATIONS
"1515",MINORITY GRADUATE EDUC ACTIVIT
"1517","""ELECT"
"1518","""CONTROL"
"1519",INTEGRATIVE SYSTEMS
"151E",Tsunami Research
"1520",COMPUTING FACILITIES
"1521",AERONOMY
"1522",PHYSICAL METEOROLOGY
"1523",SOLAR-TERRESTRIAL
"1524",ATMOSPHERIC CHEMISTRY
"1525",PHYSICAL & DYNAMIC METEOROLOGY
"1526",INSTITUTION-WIDE REFORM PROGRAM
"1527",LARGE-SCALE DYNAMIC METEOROLOG
"1529",LOWER ATMOSPHER OBSER FACILITI
"152E",Cyber-Physical Systems
"1530",PALEOCLIMATE PROGRAM
"1533",CAREER WORKSHOPS
"1536","""CSEMS--CS"
"153E",Wireless comm & sig processing
"1544",GSE: Research on Gender in S&E
"1545",RES IN DISABILITIES ED
"154E",Computat systems & security
"1550",EARTH SCIENCES PROJECT SUPPORT
"1551",STRATIGRAPHY & PALEONTOLOGY
"1552",SURFICIAL GEOLOGY
"1553",CRUSTAL STRUCTURE & TECTONICS
"1554",SEISMOLOGY
"1555",EXPERIMENTAL & THEORETICAL GEO
"1556",PETROGENESIS & MINERAL RESOURC
"1557",VOLCANOLOGY & MANTLE GEOCHEMIS
"1558",EXPERIMEN & THEORETICAL GEOCHE
"1559",SPEC PROJTS-EARTH SCIENCES-RES
"155E",Electric power networks
"1560",ARCTIC CONTAMINANTS
"1562","""ENVIRONMENTAL GEOSCIENCES"
"1565","""EXPER & THEORET GEOPHYS"
"1568","""EXP & THEOR GEOCHEM"
"156E",Auto-Reconfig Eng Sys (ARES)
"1571",GEOLOGY & PALEONTOLOGY
"1572",TECTONICS
"1573",PETROLOGY AND GEOCHEMISTRY
"1574",GEOPHYSICS
"1575",EDUCATION AND HUMAN RESOURCES
"1576",NATIONL EARTHQK HZRD REDCT PRG
"1577",GLOBAL CHANGE
"1578",FACILITY SUPPORT
"1579",HYDROLOGIC SCIENCES
"1580",INSTRUMENTATION & FACILITIES
"1581",CONTINENTAL DYNAMICS PROGRAM
"1582",MODEL INST OF EXCELL NON-RESER
"1583",ACTIVE TECTONICS
"1584",ENVIRO GEOCHEM AND BIOGEOCHEM
"1585",STUDIES OF THE EARTHS DEEP INT
"1586",HIGH PER COMPUTING AND COMMUNI
"1588",IMPLEMENTATION DEV PROJ FOR WOMEN
"1589",FOCUSED RESEARCH GROUPS
"158E",Cog Optimiz & Predict (COPN)
"1591",STTR PHASE II
"1592",PROF OPPOR FOR WOMEN IN RSCH
"1594",HIST BLACK COLLEGES AND UNIV
"1595",LARGE SCIENTIFIC & SOFTWARE DATA SET VIS
"1596",WIRELESS INFORMATION TECHNOLOGY & NETWOR
"1599",HIGH-PERFORM INSTR AIR PLAT FO
"1600",Ocean Section Reserve
"1602",XYZ CHIP INITIATIVE
"1604",SCALABLE ENTERPRISE SYSTEMS
"1605",NEW TECHNOLOGIES FOR THE ENVIRONMENT
"1606",BIOPHOTONICS PARTNERSHIP INITIATIVE
"1607",EXPLOR RESRCH ON ENGINEER THE TRANS INDU
"1608",BIOCOMPLEXITY INCUBATION AWARDS
"1609",NSF ASTRON & ASTROPHY PSTDC FE
"160E",Biosensing & Bioact (BSBA)
"1610",PHYSICAL OCEANOGRAPHY
"1614",SURVEY METHODS
"1616",FOCUSED RESEARCH GROUPS IN MATH SCIENCES
"1618",DMS VIGRE Program
